t,period,gt,v1,broad,bull,ret4,acc,distLow8,rv24,atr,distHigh8
1712685600000,DEV,TRANSITION,0,1,0,1.7886700081594542,2.135441688472232,3.293707120889522,0.618829122500828,1.3793788848326787,-1.7998313185268455
1712689200000,DEV,TRANSITION,0,1,0,1.1203913544969302,1.3671251190928195,3.183108587650807,0.6170581331549218,1.3862617647395965,-1.9049761034579782
1712764800000,DEV,SIDEWAYS,1,1,0,3.6663567089738835,3.574854357168755,5.789635837081786,0.9969242490688562,1.6346702701443354,-0.3563551944283261
1712768400000,DEV,TRANSITION,0,1,0,3.161819627496798,3.2667854214534073,5.527758950027728,0.9783894148105376,1.6461090716175082,-1.151475273583602
1712775600000,DEV,TRANSITION,1,1,0,2.044058840331342,2.317433006279871,5.664551112206562,1.0613100997151834,1.8032607980299613,-1.0233411829893346
1712786400000,DEV,SIDEWAYS,0,1,0,3.0962630491292664,2.28294877876846,4.240007663385792,1.0822997235092304,1.8528106205436632,-0.8547300567732008
1712851200000,DEV,SIDEWAYS,1,0,0,1.3389583939482197,1.2622202264940263,2.3388238889117563,0.678560116007489,1.2764374430399872,-0.7686609686609613
1712898000000,DEV,BEAR,1,0,0,1.79230150043721,1.620178555476522,2.1804716701448124,0.520415424410531,0.9556290970916269,-0.07617445086179897
1712962800000,DEV,TRANSITION,0,1,1,2.631420243240523,6.415168569570488,9.401428571428582,1.7675297755411328,3.261532606931598,-8.80120040728104
1712973600000,DEV,TRANSITION,1,0,1,-1.4424758322610254,2.186294192499568,2.666345889469346,1.9212016295419874,3.6599736206053883,-3.282435827699637
1712977200000,DEV,TRANSITION,1,0,0,-0.8899074182891265,2.227453941637621,4.343552378333793,1.9597648899483517,3.6242004229276894,-1.70241147978345
1712980800000,DEV,BEAR,0,1,0,1.2962694341513537,3.8007894496428163,5.603519384107791,1.9857985743505693,3.667809161781774,-0.8160314017146897
1712984400000,DEV,TRANSITION,0,1,0,4.26790532463539,6.4874505308743355,4.923700852350854,1.9695690504020456,3.722598294245866,-1.5123849097021025
1712988000000,DEV,TRANSITION,0,1,0,2.6560167114134225,2.1533067560791355,5.393181193291174,1.9798481502959269,3.671495469037962,-1.0717027879757701
1713049200000,DEV,TRANSITION,0,1,1,3.5576994989155564,6.391223363820956,22.627239476783846,3.1721546500982143,5.494656282208549,-7.480806879455837
1713052800000,DEV,TRANSITION,0,1,1,10.889878894124827,13.964945271146311,22.121558312742984,3.1699968592797565,5.732322081237204,-5.3217711315715395
1713056400000,DEV,TRANSITION,0,1,1,3.8001454959988745,6.610231990734645,22.57144628355341,3.104152436171938,5.808667792425486,-4.034058604096469
1713067200000,DEV,TRANSITION,1,1,0,1.7049080466438715,2.9332782242150115,14.162101441607188,3.194581312989607,6.268736076860315,-2.370991207980322
1713070800000,DEV,TRANSITION,0,1,0,2.9905205051877104,2.2362763874070137,10.090517307959646,3.218809766120341,6.178787152949335,-0.7726953144034487
1713074400000,DEV,SIDEWAYS,0,1,0,6.449332519756523,6.565433657779877,9.665376212196719,3.218013293595091,6.0617892868876755,-1.0013840830449872
1713078000000,DEV,BEAR,1,1,0,6.755073903310449,4.185084124435767,10.405918203074105,3.213791175697721,5.6889319167213035,-0.3480438964309829
1713117600000,DEV,BULL,1,1,0,3.72538157645379,3.899675952197975,6.683409550940866,3.196044841646844,3.0141998825460408,-0.7359095982142905
1713121200000,DEV,BULL,0,1,0,2.721275824574132,3.2570847571918193,6.232851038308729,2.8394891588309332,2.965588228177853,-1.155133928571428
1713124800000,DEV,BULL,0,1,0,1.4618537427194989,1.8877062055973355,5.782292525676613,2.3788637728716937,2.9635899206354845,-1.8270495167989842
1713128400000,DEV,BULL,0,1,0,2.74893629380073,2.7352687175332977,6.088912212309783,1.9624586697188529,2.924436494027768,-1.5424862066806377
1713132000000,DEV,TRANSITION,1,1,0,5.770001054073992,3.909237949466278,12.83904340655222,2.0390271042281785,3.0522621230585836,-0.251829074329335
1713135600000,DEV,TRANSITION,0,1,0,6.692118782814882,3.7157653381414786,13.342079616163161,1.9955806973240866,2.9806984538542145,-1.0957595739948367
1713139200000,DEV,SIDEWAYS,0,1,0,5.19336938264956,3.5405975957373785,11.275957717969876,2.038688416175317,3.100093646205982,-2.8986929387290417
1713142800000,DEV,BULL,0,1,0,4.756487082367578,2.2110950237390923,8.000029141350119,2.0404658490784473,2.9819765038291393,-3.0216796849445893
1713160800000,DEV,BEAR,1,1,0,5.712943803093018,2.6678411479977404,6.372559092061025,1.87841277556806,2.531976249499833,-0.4761355480364937
1713164400000,DEV,BEAR,0,1,0,3.8255500537049514,1.0051168502197556,5.269141992178117,1.8970268257612604,2.349613053023726,-1.5085102019891439
1713214800000,DEV,TRANSITION,1,0,1,-0.7100184317916036,2.6487334193866507,3.663796330962188,1.9356803050905762,2.8323157235417176,-8.153489945798198
1713218400000,DEV,BEAR,1,1,0,3.1054893375496606,6.016645252405143,4.736802695619602,1.4562449062986265,2.848339141198533,-4.448452058911934
1713250800000,DEV,TRANSITION,0,1,0,2.4330231036840955,2.436167529584491,6.067860276798509,1.3897552421090733,2.7203577934000234,-1.932219312229566
1713254400000,DEV,TRANSITION,0,1,0,3.17866690833295,3.056228623350495,5.164185538125232,1.3914036282505327,2.5954634285588813,-2.7677351400592243
1713258000000,DEV,TRANSITION,0,1,0,1.6695090207342167,2.2760161512259494,4.6261372908231735,1.3782610216126707,2.4366557782290115,-2.0812171770655308
1713290400000,DEV,TRANSITION,0,1,0,2.2632000916275263,2.6899835156246943,5.963193873029948,1.5691509374794153,2.8786574549628083,-2.000541477942097
1713294000000,DEV,BULL,0,1,0,3.554827432136909,4.93100640071629,4.52243812899551,1.5522459139492473,2.9409920022146347,-2.9331373989713416
1713297600000,DEV,BULL,1,1,0,1.4603237088739895,2.0946727325864445,6.037565668713207,1.568234089572722,2.886231680916173,-0.9357745271234119
1713301200000,DEV,SIDEWAYS,0,1,0,3.657088397915431,3.3824251056834953,8.427748591683027,1.596806899786956,2.8517431315072925,-0.6056034639067454
1713304800000,DEV,SIDEWAYS,1,1,0,2.6596181558885768,1.5850193786388338,8.781410215836448,1.5832507734243633,2.846160320104066,-0.2814061604740181
1713308400000,DEV,TRANSITION,0,1,0,3.0845974505707474,3.0642692605144184,7.746534590796883,1.581437580412353,2.8498417570475003,-1.2300640416597175
1713312000000,DEV,TRANSITION,0,1,0,2.441372003312847,1.506640941288643,4.58180987202923,1.584182555140642,2.631403703183446,-0.6512536633018651
1713333600000,DEV,BEAR,0,1,0,2.537666778704928,0.9442852108592821,4.1742138551533525,1.5758732055708837,2.130167756437075,-1.6063440422936281
1713376800000,DEV,TRANSITION,0,1,0,3.082561552382268,4.213934283045243,6.90470933350158,1.5243230138614263,2.7155059769688603,-1.6903675878722768
1713380400000,DEV,TRANSITION,0,1,0,4.570007383515318,5.718236598772416,6.0980033435321435,1.5053718575170898,2.745337460116904,-2.432214881906336
1713384000000,DEV,SIDEWAYS,0,1,0,3.952991452991439,5.243585429097782,5.117023625524397,1.490332457720331,2.824488509892222,-3.3343243968411707
1713387600000,DEV,TRANSITION,0,1,0,2.01058520638131,2.944357849288811,6.545121912752738,1.4446251026335961,2.8992349204469536,-2.064366483038571
1713409200000,DEV,TRANSITION,0,1,0,2.8296947207867573,1.0563556878977327,4.568253723281113,1.5140793136852555,2.7958400539759842,-1.7758770658161893
