family,decision,label,feature,period,band,n,success,success_rate
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_range_r,DEV,Q2,116,78,0.6724137931034483
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_range_r,DEV,Q3,116,88,0.7586206896551724
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_range_r,DEV,Q4,116,86,0.7413793103448276
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_range_r,REF,Q1,79,52,0.6582278481012658
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_range_r,REF,Q2,79,59,0.7468354430379747
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_range_r,REF,Q3,57,45,0.7894736842105263
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_range_r,REF,Q4,67,48,0.7164179104477612
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_location,DEV,Q1,117,80,0.6837606837606838
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_location,DEV,Q2,116,79,0.6810344827586207
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_location,DEV,Q3,116,87,0.75
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_location,DEV,Q4,116,80,0.6896551724137931
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_location,REF,Q1,76,45,0.5921052631578947
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_location,REF,Q2,71,57,0.8028169014084507
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_location,REF,Q3,68,50,0.7352941176470589
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_location,REF,Q4,67,52,0.7761194029850746
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_slope_r_per_bar,DEV,Q1,117,82,0.7008547008547008
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_slope_r_per_bar,DEV,Q2,116,82,0.7068965517241379
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_slope_r_per_bar,DEV,Q3,116,76,0.6551724137931034
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_slope_r_per_bar,DEV,Q4,116,86,0.7413793103448276
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_slope_r_per_bar,REF,Q1,68,47,0.6911764705882353
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_slope_r_per_bar,REF,Q2,76,54,0.7105263157894737
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_slope_r_per_bar,REF,Q3,69,50,0.7246376811594203
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_slope_r_per_bar,REF,Q4,69,53,0.7681159420289855
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_path_efficiency,DEV,Q1,117,84,0.717948717948718
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_path_efficiency,DEV,Q2,116,80,0.6896551724137931
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_path_efficiency,DEV,Q3,232,162,0.6982758620689655
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_path_efficiency,REF,Q1,74,50,0.6756756756756757
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_path_efficiency,REF,Q2,69,50,0.7246376811594203
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_path_efficiency,REF,Q3,139,104,0.7482014388489209
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_min_close_r,DEV,Q1,117,82,0.7008547008547008
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_min_close_r,DEV,Q2,116,83,0.7155172413793104
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_min_close_r,DEV,Q3,116,75,0.646551724137931
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_min_close_r,DEV,Q4,116,86,0.7413793103448276
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_min_close_r,REF,Q1,57,35,0.6140350877192983
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_min_close_r,REF,Q2,67,57,0.8507462686567164
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_min_close_r,REF,Q3,86,56,0.6511627906976745
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_min_close_r,REF,Q4,72,56,0.7777777777777778
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_max_close_r,DEV,Q1,117,83,0.7094017094017094
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_max_close_r,DEV,Q2,116,78,0.6724137931034483
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_max_close_r,DEV,Q3,116,82,0.7068965517241379
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_max_close_r,DEV,Q4,116,83,0.7155172413793104
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_max_close_r,REF,Q1,62,40,0.6451612903225806
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_max_close_r,REF,Q2,68,54,0.7941176470588235
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_max_close_r,REF,Q3,85,56,0.6588235294117647
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_max_close_r,REF,Q4,67,54,0.8059701492537313
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_above_anchor_rate,DEV,Q1,179,132,0.7374301675977654
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_above_anchor_rate,DEV,Q2,95,62,0.6526315789473685
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_above_anchor_rate,DEV,Q3,191,132,0.6910994764397905
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_above_anchor_rate,REF,Q1,94,66,0.7021276595744681
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_above_anchor_rate,REF,Q2,54,38,0.7037037037037037
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_above_anchor_rate,REF,Q3,134,100,0.746268656716418
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_above_zone_rate,DEV,Q1,161,115,0.7142857142857143
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_above_zone_rate,DEV,Q2,76,49,0.6447368421052632
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_above_zone_rate,DEV,Q3,228,162,0.7105263157894737
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_above_zone_rate,REF,Q1,86,56,0.6511627906976745
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_above_zone_rate,REF,Q2,42,32,0.7619047619047619
PLUS15_REACTION,PLUS15_CLOSE,GE1R,p15_close_above_zone_rate,REF,Q3,154,116,0.7532467532467533
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_close_r,DEV,Q1,120,59,0.49166666666666664
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_close_r,DEV,Q2,120,60,0.5
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_close_r,DEV,Q3,118,53,0.4491525423728814
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_close_r,DEV,Q4,119,71,0.5966386554621849
