partition,snapshot_age_min,case_entry_ts,case_execution_start,case_dev_block,case_invalidation_close_ts,case_exit_ts,case_measurement_start_ts,case_last_completed_bar_ts,case_pnl,control_entry_ts,control_execution_start,control_dev_block,control_break_ts,control_invalidation_close_ts,control_exit_ts,control_measurement_start_ts,control_last_completed_bar_ts,control_pnl,case__running_mae_R,control__running_mae_R,case__close_H_R,control__close_H_R,case__drawdown_from_best_R,control__drawdown_from_best_R
development,60,2024-05-12 16:20:00+00:00,2024-05-12 15:00:00+00:00,4.0,2024-05-12 21:20:00+00:00,2024-05-12 21:25:00+00:00,2024-05-12 16:25:00+00:00,2024-05-12 17:15:00+00:00,-10.262035594193419,2024-05-06 01:20:00+00:00,2024-05-05 15:00:00+00:00,4.0,,,2024-05-06 02:55:00+00:00,2024-05-06 01:25:00+00:00,2024-05-06 02:15:00+00:00,-6.720684435313872,0.8666107382550293,0.499830680663731,-0.5239093959731491,-0.281070098205219,0.4375,0.17846258042668972
development,60,2024-06-01 15:05:00+00:00,2024-06-01 15:00:00+00:00,4.0,2024-06-01 23:10:00+00:00,2024-06-01 23:15:00+00:00,2024-06-01 15:10:00+00:00,2024-06-01 16:00:00+00:00,-3.641282971191595,2024-05-23 21:10:00+00:00,2024-05-23 15:00:00+00:00,4.0,,,2024-05-24 02:55:00+00:00,2024-05-23 21:15:00+00:00,2024-05-23 22:05:00+00:00,-14.0898491276375,0.49555950266428983,0.779753903422604,-0.3818827708703419,-0.07072691552062849,0.5612788632326842,0.4222934546582573
development,60,2024-07-09 20:45:00+00:00,2024-07-09 15:00:00+00:00,5.0,2024-07-10 01:00:00+00:00,2024-07-10 01:05:00+00:00,2024-07-09 20:50:00+00:00,2024-07-09 21:40:00+00:00,-15.40905757882599,2024-07-12 15:25:00+00:00,2024-07-12 15:00:00+00:00,5.0,,,2024-07-13 02:55:00+00:00,2024-07-12 15:30:00+00:00,2024-07-12 16:20:00+00:00,-0.8943965517241304,0.2709136250283366,0.24354243542435355,-0.1575606438449315,-0.10498154981549626,0.17909771026977825,0.10000000000000052
development,60,2024-10-02 16:05:00+00:00,2024-10-02 15:00:00+00:00,5.0,2024-10-02 18:55:00+00:00,2024-10-02 19:00:00+00:00,2024-10-02 16:10:00+00:00,2024-10-02 17:00:00+00:00,-19.988117180801122,2024-10-04 01:30:00+00:00,2024-10-03 15:00:00+00:00,5.0,,,2024-10-04 02:55:00+00:00,2024-10-04 01:35:00+00:00,2024-10-04 02:25:00+00:00,-3.5093546686693067,0.5132954337062177,0.33090555960184503,-0.5088941866862285,-0.23452294246176456,0.46268109297634236,0.21340131099781964
development,60,2024-11-23 15:00:00+00:00,2024-11-23 15:00:00+00:00,5.0,2024-11-23 16:25:00+00:00,2024-11-23 16:30:00+00:00,2024-11-23 15:05:00+00:00,2024-11-23 15:55:00+00:00,-14.497153700189724,2024-12-07 15:00:00+00:00,2024-12-07 15:00:00+00:00,5.0,,,2024-12-08 02:55:00+00:00,2024-12-07 15:05:00+00:00,2024-12-07 15:55:00+00:00,-3.537638831756451,0.5133333333333364,0.46484935437589403,-0.47466666666666696,-0.298421807747487,0.4493333333333339,0.25107604017216645
development,60,2024-12-08 16:00:00+00:00,2024-12-08 15:00:00+00:00,5.0,2024-12-09 01:35:00+00:00,2024-12-09 01:40:00+00:00,2024-12-08 16:05:00+00:00,2024-12-08 16:55:00+00:00,-9.649344096871848,2024-12-07 15:00:00+00:00,2024-12-07 15:00:00+00:00,5.0,,,2024-12-08 02:55:00+00:00,2024-12-07 15:05:00+00:00,2024-12-07 15:55:00+00:00,-3.537638831756451,0.4745011086474543,0.46484935437589403,-0.4079822616407998,-0.298421807747487,0.3614190687361416,0.25107604017216645
development,60,2024-12-26 16:55:00+00:00,2024-12-26 15:00:00+00:00,5.0,2024-12-26 21:10:00+00:00,2024-12-26 21:15:00+00:00,2024-12-26 17:00:00+00:00,2024-12-26 17:50:00+00:00,-10.246331236897333,2024-12-07 15:00:00+00:00,2024-12-07 15:00:00+00:00,5.0,,,2024-12-08 02:55:00+00:00,2024-12-07 15:05:00+00:00,2024-12-07 15:55:00+00:00,-3.537638831756451,1.0416666666666625,0.46484935437589403,-0.5833333333333334,-0.298421807747487,0.5178571428571435,0.25107604017216645
development,120,2022-03-06 16:20:00+00:00,2022-03-06 15:00:00+00:00,0.0,2022-03-06 19:40:00+00:00,2022-03-06 19:45:00+00:00,2022-03-06 16:25:00+00:00,2022-03-06 18:15:00+00:00,-17.630385487528322,2022-03-10 22:35:00+00:00,2022-03-10 15:00:00+00:00,0.0,,,2022-03-11 02:55:00+00:00,2022-03-10 22:40:00+00:00,2022-03-11 00:30:00+00:00,-15.546819156540382,0.5407407407407431,0.5384615384615372,-0.2777777777777775,-0.32248520710059314,0.2777777777777775,0.3047337278106516
development,120,2022-03-09 15:50:00+00:00,2022-03-09 15:00:00+00:00,0.0,2022-03-09 19:10:00+00:00,2022-03-09 19:15:00+00:00,2022-03-09 15:55:00+00:00,2022-03-09 17:45:00+00:00,-16.31165919282507,2022-03-10 22:35:00+00:00,2022-03-10 15:00:00+00:00,0.0,,,2022-03-11 02:55:00+00:00,2022-03-10 22:40:00+00:00,2022-03-11 00:30:00+00:00,-15.546819156540382,0.5873605947955389,0.5384615384615372,-0.2825278810408943,-0.32248520710059314,0.37918215613382783,0.3047337278106516
development,120,2022-06-05 16:05:00+00:00,2022-06-05 15:00:00+00:00,0.0,2022-06-05 23:25:00+00:00,2022-06-05 23:30:00+00:00,2022-06-05 16:10:00+00:00,2022-06-05 18:00:00+00:00,-17.508754377188573,2022-06-02 15:20:00+00:00,2022-06-02 15:00:00+00:00,0.0,,,2022-06-03 02:55:00+00:00,2022-06-02 15:25:00+00:00,2022-06-02 17:15:00+00:00,-0.8486905916585963,0.6349206349206337,0.47953216374269,-0.15079365079364923,-0.4210526315789465,0.34126984126984156,0.3742690058479492
