zone_id,activation_ts,origin_ts,h4_bos_ts,broken_h4_swing_ts,broken_h4_level,h4_bos_close,demand_low,demand_high,first_touch_ts,touch_open,touch_high,touch_low,touch_close,retest_exists,retest_close_holds,expansion_high_exists,expansion_pivot_ts,expansion_confirm_ts,expansion_high,pullback_ge2_h1_bars,has_lower_high,has_lower_low,has_any_correction,visual_equivalent,strict_exact,family
H4D_2023-01-21T00:00:00+00:00,2023-01-21 00:00:00+00:00,2023-01-20 12:00:00+00:00,2023-01-21 00:00:00+00:00,2023-01-20 04:00:00+00:00,296.34,305.24,286.97,288.11,2023-02-13 11:00:00+00:00,290.84,295.66,287.66,291.68,True,True,True,2023-02-13 06:00:00+00:00,2023-02-13 08:00:00+00:00,315.91,True,True,True,True,True,True,STRICT_EXACT
H4D_2023-01-26T00:00:00+00:00,2023-01-26 00:00:00+00:00,2023-01-25 16:00:00+00:00,2023-01-26 00:00:00+00:00,2023-01-25 12:00:00+00:00,304.23,306.84,295.76,300.42,2023-01-27 02:00:00+00:00,302.18,303.2,298.55,300.32,True,True,True,2023-01-26 22:00:00+00:00,2023-01-27 00:00:00+00:00,307.1,True,True,True,True,True,False,VISUAL_ONLY
H4D_2023-01-29T12:00:00+00:00,2023-01-29 12:00:00+00:00,2023-01-29 00:00:00+00:00,2023-01-29 12:00:00+00:00,2023-01-28 08:00:00+00:00,313.79,316.99,304.08,306.58,2023-01-30 10:00:00+00:00,310.86,310.86,305.0,306.73,True,True,True,2023-01-30 01:00:00+00:00,2023-01-30 03:00:00+00:00,321.26,True,True,True,True,True,True,STRICT_EXACT
H4D_2023-02-02T00:00:00+00:00,2023-02-02 00:00:00+00:00,2023-02-01 16:00:00+00:00,2023-02-02 00:00:00+00:00,2023-02-01 04:00:00+00:00,314.9,317.2,306.42,308.17,2023-02-09 20:00:00+00:00,316.43,316.54,307.59,311.29,True,True,True,2023-02-09 15:00:00+00:00,2023-02-09 17:00:00+00:00,322.6,True,True,True,True,True,True,STRICT_EXACT
H4D_2023-02-08T00:00:00+00:00,2023-02-08 00:00:00+00:00,2023-02-07 16:00:00+00:00,2023-02-08 00:00:00+00:00,2023-02-06 20:00:00+00:00,331.62,333.15,327.28,330.17,2023-02-08 10:00:00+00:00,330.59,331.1,329.5,330.48,True,True,True,2023-02-08 02:00:00+00:00,2023-02-08 04:00:00+00:00,336.01,True,True,True,True,True,False,VISUAL_ONLY
H4D_2023-02-12T16:00:00+00:00,2023-02-12 16:00:00+00:00,2023-02-12 08:00:00+00:00,2023-02-12 16:00:00+00:00,2023-02-12 00:00:00+00:00,311.13,312.66,305.2,307.45,2023-02-13 02:00:00+00:00,312.31,312.6,306.91,308.67,True,True,True,2023-02-12 18:00:00+00:00,2023-02-12 20:00:00+00:00,320.7,True,True,True,True,True,False,VISUAL_ONLY
H4D_2023-02-15T16:00:00+00:00,2023-02-15 16:00:00+00:00,2023-02-15 00:00:00+00:00,2023-02-15 16:00:00+00:00,2023-02-14 16:00:00+00:00,301.53,303.0,295.47,297.86,2023-02-25 21:00:00+00:00,300.23,300.43,295.07,297.91,True,True,True,2023-02-24 21:00:00+00:00,2023-02-24 23:00:00+00:00,303.9,True,True,True,True,True,True,STRICT_EXACT
H4D_2023-03-13T00:00:00+00:00,2023-03-13 00:00:00+00:00,2023-03-12 16:00:00+00:00,2023-03-13 00:00:00+00:00,2023-03-12 08:00:00+00:00,278.2,288.04,273.21,276.14,2023-06-05 16:00:00+00:00,300.1,300.28,275.2,275.66,True,True,True,2023-06-05 10:00:00+00:00,2023-06-05 12:00:00+00:00,301.32,True,True,True,True,True,True,STRICT_EXACT
H4D_2023-03-18T00:00:00+00:00,2023-03-18 00:00:00+00:00,2023-03-17 16:00:00+00:00,2023-03-18 00:00:00+00:00,2023-03-17 12:00:00+00:00,336.39,338.63,328.0,334.11,2023-03-18 15:00:00+00:00,340.64,341.29,333.63,333.98,True,True,True,2023-03-18 06:00:00+00:00,2023-03-18 08:00:00+00:00,345.77,True,True,True,True,True,True,STRICT_EXACT
H4D_2023-03-29T08:00:00+00:00,2023-03-29 08:00:00+00:00,2023-03-29 00:00:00+00:00,2023-03-29 08:00:00+00:00,2023-03-28 20:00:00+00:00,315.85,316.27,311.45,314.39,2023-03-29 15:00:00+00:00,316.62,317.24,314.05,314.45,True,True,True,2023-03-29 09:00:00+00:00,2023-03-29 11:00:00+00:00,320.0,True,True,True,True,True,False,VISUAL_ONLY
H4D_2023-04-05T04:00:00+00:00,2023-04-05 04:00:00+00:00,2023-04-05 00:00:00+00:00,2023-04-05 04:00:00+00:00,2023-04-04 16:00:00+00:00,313.21,314.4,310.23,311.31,2023-04-05 16:00:00+00:00,312.54,312.54,310.5,312.08,True,True,True,2023-04-05 13:00:00+00:00,2023-04-05 15:00:00+00:00,316.92,True,True,True,True,True,True,STRICT_EXACT
H4D_2023-04-10T04:00:00+00:00,2023-04-10 04:00:00+00:00,2023-04-09 16:00:00+00:00,2023-04-10 04:00:00+00:00,2023-04-08 20:00:00+00:00,312.64,312.71,309.7,310.38,2023-05-08 19:00:00+00:00,312.56,313.42,310.0,312.13,True,True,True,2023-05-08 05:00:00+00:00,2023-05-08 07:00:00+00:00,318.52,True,True,True,True,True,True,STRICT_EXACT
H4D_2023-04-11T00:00:00+00:00,2023-04-11 00:00:00+00:00,2023-04-10 16:00:00+00:00,2023-04-11 00:00:00+00:00,2023-04-10 00:00:00+00:00,313.81,318.5,311.56,312.62,2023-05-08 18:00:00+00:00,316.25,316.98,312.49,312.56,True,True,True,2023-05-08 05:00:00+00:00,2023-05-08 07:00:00+00:00,318.52,True,True,True,True,True,True,STRICT_EXACT
H4D_2023-04-13T12:00:00+00:00,2023-04-13 12:00:00+00:00,2023-04-13 08:00:00+00:00,2023-04-13 12:00:00+00:00,2023-04-12 16:00:00+00:00,321.88,323.88,317.81,319.98,2023-04-20 00:00:00+00:00,324.59,324.96,319.63,322.37,True,True,True,2023-04-19 15:00:00+00:00,2023-04-19 17:00:00+00:00,329.91,True,True,True,True,True,True,STRICT_EXACT
H4D_2023-04-14T04:00:00+00:00,2023-04-14 04:00:00+00:00,2023-04-13 16:00:00+00:00,2023-04-14 04:00:00+00:00,2023-04-13 12:00:00+00:00,324.99,331.45,322.07,323.88,2023-04-14 17:00:00+00:00,325.96,326.09,323.19,325.2,True,True,True,2023-04-14 13:00:00+00:00,2023-04-14 15:00:00+00:00,334.77,True,True,True,True,True,False,VISUAL_ONLY
H4D_2023-05-01T00:00:00+00:00,2023-05-01 00:00:00+00:00,2023-04-30 04:00:00+00:00,2023-05-01 00:00:00+00:00,2023-04-27 20:00:00+00:00,335.94,336.84,320.28,321.74,2023-05-02 15:00:00+00:00,322.71,325.48,321.37,324.54,True,True,True,2023-05-01 01:00:00+00:00,2023-05-01 03:00:00+00:00,338.34,True,True,True,True,True,False,VISUAL_ONLY
H4D_2023-05-04T00:00:00+00:00,2023-05-04 00:00:00+00:00,2023-05-03 12:00:00+00:00,2023-05-04 00:00:00+00:00,2023-05-02 16:00:00+00:00,325.61,325.74,321.85,323.13,2023-05-04 23:00:00+00:00,323.45,323.67,323.06,323.08,True,True,True,2023-05-04 11:00:00+00:00,2023-05-04 13:00:00+00:00,327.34,True,True,True,True,True,False,VISUAL_ONLY
