period,feature,band,n,survive,survival_rate,dev_q25,dev_q50,dev_q75
REF,last3_bear_progress_zone_r,Q4,79,65,0.8227848101265823,-1.1525423728813626,-0.5970149253730862,-0.2165605095541432
DEV,touch_penetration_zone_r,Q1,165,121,0.7333333333333333,0.06190476190475991,0.15681818181818008,0.3471074380165268
DEV,touch_penetration_zone_r,Q2,164,119,0.725609756097561,0.06190476190475991,0.15681818181818008,0.3471074380165268
DEV,touch_penetration_zone_r,Q3,164,125,0.7621951219512195,0.06190476190475991,0.15681818181818008,0.3471074380165268
DEV,touch_penetration_zone_r,Q4,164,135,0.823170731707317,0.06190476190475991,0.15681818181818008,0.3471074380165268
REF,touch_penetration_zone_r,Q1,116,87,0.75,0.06190476190475991,0.15681818181818008,0.3471074380165268
REF,touch_penetration_zone_r,Q2,103,78,0.7572815533980582,0.06190476190475991,0.15681818181818008,0.3471074380165268
REF,touch_penetration_zone_r,Q3,96,79,0.8229166666666666,0.06190476190475991,0.15681818181818008,0.3471074380165268
REF,touch_penetration_zone_r,Q4,88,65,0.7386363636363636,0.06190476190475991,0.15681818181818008,0.3471074380165268
DEV,touch_close_location,Q1,165,130,0.7878787878787878,0.9223744292237369,1.026915113871635,1.1938775510204078
DEV,touch_close_location,Q2,164,124,0.7560975609756098,0.9223744292237369,1.026915113871635,1.1938775510204078
DEV,touch_close_location,Q3,164,126,0.7682926829268293,0.9223744292237369,1.026915113871635,1.1938775510204078
DEV,touch_close_location,Q4,164,120,0.7317073170731707,0.9223744292237369,1.026915113871635,1.1938775510204078
REF,touch_close_location,Q1,100,77,0.77,0.9223744292237369,1.026915113871635,1.1938775510204078
REF,touch_close_location,Q2,82,60,0.7317073170731707,0.9223744292237369,1.026915113871635,1.1938775510204078
REF,touch_close_location,Q3,111,89,0.8018018018018018,0.9223744292237369,1.026915113871635,1.1938775510204078
REF,touch_close_location,Q4,110,83,0.7545454545454545,0.9223744292237369,1.026915113871635,1.1938775510204078
DEV,touch_body_zone_r,Q1,165,128,0.7757575757575758,0.1615384615384698,0.3554054054054059,0.7351351351351335
DEV,touch_body_zone_r,Q2,164,117,0.7134146341463414,0.1615384615384698,0.3554054054054059,0.7351351351351335
DEV,touch_body_zone_r,Q3,164,118,0.7195121951219512,0.1615384615384698,0.3554054054054059,0.7351351351351335
DEV,touch_body_zone_r,Q4,164,137,0.8353658536585366,0.1615384615384698,0.3554054054054059,0.7351351351351335
REF,touch_body_zone_r,Q1,110,89,0.8090909090909091,0.1615384615384698,0.3554054054054059,0.7351351351351335
REF,touch_body_zone_r,Q2,98,75,0.7653061224489796,0.1615384615384698,0.3554054054054059,0.7351351351351335
REF,touch_body_zone_r,Q3,106,78,0.7358490566037735,0.1615384615384698,0.3554054054054059,0.7351351351351335
REF,touch_body_zone_r,Q4,89,67,0.7528089887640449,0.1615384615384698,0.3554054054054059,0.7351351351351335
DEV,touch_range_zone_r,Q1,165,120,0.7272727272727273,0.37861271676300245,0.66549295774648,1.2839506172839599
DEV,touch_range_zone_r,Q2,164,123,0.75,0.37861271676300245,0.66549295774648,1.2839506172839599
DEV,touch_range_zone_r,Q3,164,118,0.7195121951219512,0.37861271676300245,0.66549295774648,1.2839506172839599
DEV,touch_range_zone_r,Q4,164,139,0.8475609756097561,0.37861271676300245,0.66549295774648,1.2839506172839599
REF,touch_range_zone_r,Q1,108,86,0.7962962962962963,0.37861271676300245,0.66549295774648,1.2839506172839599
REF,touch_range_zone_r,Q2,94,77,0.8191489361702128,0.37861271676300245,0.66549295774648,1.2839506172839599
REF,touch_range_zone_r,Q3,112,76,0.6785714285714286,0.37861271676300245,0.66549295774648,1.2839506172839599
REF,touch_range_zone_r,Q4,89,70,0.7865168539325843,0.37861271676300245,0.66549295774648,1.2839506172839599
